AAC3_PRIME.AGly_AF355189.1_gene2_1_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC3_PRIME was removed because does not look like a gene, so removing its metadata
AAC6_PRIME.1152_EU118148.2_EU118148_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because does not look like a gene, so removing its metadata
AAC6_PRIME.1906_AJ584652.2_AJ584652_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because does not look like a gene, so removing its metadata
AAC6_PRIME.AGly_AF047556.1_gene1_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because does not look like a gene, so removing its metadata
AAC6_PRIME.AGly_AF162771.1_gene2_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because does not look like a gene, so removing its metadata
AAC6_PRIME.AGly_AF263519.1_gene4_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because does not look like a gene, so removing its metadata
AAC6_PRIME.AGly_AF355189.1_gene2_2_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because does not look like a gene, so removing its metadata
AAC6_PRIME.AGly_Aac3_Ib_Aac6_Ib_AF355189_1435_2439_1005_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because does not look like a gene, so removing its metadata
AAC6_PRIME.AGly_EU886977.1_gene2_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because does not look like a gene, so removing its metadata
AAC6_PRIME.AGly_L06163.1_gene1_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because does not look like a gene, so removing its metadata
AAC6_PRIME.AGly_NC_005024.2598370_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because does not look like a gene, so removing its metadata
ACC.Bla_ACC_3_AF180957_1_1131_1131_betalactams_Class_C_betalactamases_ACC was removed because does not look like a gene, so removing its metadata
ACT.1298_KM926622.1_KM926622_betalactams_Class_C_betalactamases_ACT was removed because does not look like a gene, so removing its metadata
ACT.Bla_ACT_16_AB737978_1_1140_1140_betalactams_Class_C_betalactamases_ACT was removed because does not look like a gene, so removing its metadata
ACT.Bla_CMG_AY265892_1_1054_1054_putative_betalactams_Class_C_betalactamases_ACT was removed because does not look like a gene, so removing its metadata
ACT.Bla_ZEG_1_AY265891_1_1013_1013_betalactams_Class_C_betalactamases_ACT was removed because does not look like a gene, so removing its metadata
ACT.gi_397174612_dbj_AB737978.1_betalactams_Class_C_betalactamases_ACT was removed because does not look like a gene, so removing its metadata
ACT.gi_407731534_gb_JX440355.1_betalactams_Class_C_betalactamases_ACT was removed because does not look like a gene, so removing its metadata
ACT.gi_407731538_gb_JX440356.1_betalactams_Class_C_betalactamases_ACT was removed because does not look like a gene, so removing its metadata
ACT.gi_4827074_gb_U58495.2_KPU58495_betalactams_Class_C_betalactamases_ACT was removed because does not look like a gene, so removing its metadata
ACT.gi_591542910_gb_KJ207206.1_betalactams_Class_C_betalactamases_ACT was removed because does not look like a gene, so removing its metadata
ACT.gi_591542941_gb_KJ207208.1_betalactams_Class_C_betalactamases_ACT was removed because does not look like a gene, so removing its metadata
ACT.gi_591542958_gb_KJ207209.1_betalactams_Class_C_betalactamases_ACT was removed because does not look like a gene, so removing its metadata
ACT.gi_595583477_gb_KF992026.1_betalactams_Class_C_betalactamases_ACT was removed because does not look like a gene, so removing its metadata
ACT.gi_595583481_gb_KF992027.1_betalactams_Class_C_betalactamases_ACT was removed because does not look like a gene, so removing its metadata
ACT.gi_595583489_gb_KF992029.1_betalactams_Class_C_betalactamases_ACT was removed because does not look like a gene, so removing its metadata
AER.Bla_U14748.1_gene2_betalactams_Class_A_betalactamases_AER was removed because does not look like a gene, so removing its metadata
ANT3_DPRIME.1613_AY740681.1_AY740681_Aminoglycosides_Aminoglycoside_O_nucleotidyltransferases_ANT3_DPRIME was removed because does not look like a gene, so removing its metadata
ANT3_DPRIME.174_AF453998.2_AF453998_Aminoglycosides_Aminoglycoside_O_nucleotidyltransferases_ANT3_DPRIME was removed because does not look like a gene, so removing its metadata
ANT3_DPRIME.1863_AJ620678.1_AJ620678_Aminoglycosides_Aminoglycoside_O_nucleotidyltransferases_ANT3_DPRIME was removed because does not look like a gene, so removing its metadata
ANT3_DPRIME.AGly_AF047479.2_gene10_Aminoglycosides_Aminoglycoside_O_nucleotidyltransferases_ANT3_DPRIME was removed because does not look like a gene, so removing its metadata
ANT3_DPRIME.AGly_U12338.3_gene7_Aminoglycosides_Aminoglycoside_O_nucleotidyltransferases_ANT3_DPRIME was removed because does not look like a gene, so removing its metadata
ANT4_PRIME.685_unknown_id_unknown_name_Aminoglycosides_Aminoglycoside_O_nucleotidyltransferases_ANT4_PRIME was removed because does not look like a gene, so removing its metadata
ANT6.AGly_AY712687.1_gene1_Aminoglycosides_Aminoglycoside_O_nucleotidyltransferases_ANT6 was removed because does not look like a gene, so removing its metadata
ANT6.AGly_str_3_AM932524_Aminoglycosides_Aminoglycoside_O_nucleotidyltransferases_ANT6 was removed because does not look like a gene, so removing its metadata
APH3_DPRIME.AGly_aph3_dprime_Ic_1_DQ336355_Aminoglycosides_Aminoglycoside_O_phosphotransferases_APH3_DPRIME was removed because does not look like a gene, so removing its metadata
BLAA.Bla_A_1_DQ424965_betalactams_Class_A_betalactamases_BLAA was removed because does not look like a gene, so removing its metadata
BLAB.Bla_B_9_AY348324_1_747_747_betalactams_Class_B_betalactamases_BLAB was removed because does not look like a gene, so removing its metadata
BLT.Mdr_L32599.1_gene2_Multi_drug_resistance_Multi_drug_efflux_pumps_BLT was removed because does not look like a gene, so removing its metadata
CARB.Bla_AY248038.1_gene4_betalactams_Class_A_betalactamases_CARB was removed because does not look like a gene, so removing its metadata
CARB.Bla_DQ831141.1_gene2_betalactams_Class_A_betalactamases_CARB was removed because does not look like a gene, so removing its metadata
CARB.gi_151074_gb_M69058.1_PSEBETLAC_betalactams_Class_A_betalactamases_CARB was removed because does not look like a gene, so removing its metadata
CARB.gi_233319_gb_S46063.1_betalactams_Class_A_betalactamases_CARB was removed because does not look like a gene, so removing its metadata
CARB.gi_3004512_gb_U14749.1_PAU14749_betalactams_Class_A_betalactamases_CARB was removed because does not look like a gene, so removing its metadata
CARB.gi_695198991_ref_NG_035137.1_betalactams_Class_A_betalactamases_CARB was removed because does not look like a gene, so removing its metadata
CARB.gi_7381164_gb_AF135373.1_betalactams_Class_A_betalactamases_CARB was removed because does not look like a gene, so removing its metadata
CATA.Phe_M90091.1_gene2_Phenicol_Chloramphenicol_acetyltransferases_CATA was removed because does not look like a gene, so removing its metadata
CATA.Phe_NC_010588.1.6276004_Phenicol_Chloramphenicol_acetyltransferases_CATA was removed because does not look like a gene, so removing its metadata
CATP.944_X74948.1_X74948_Phenicol_Chloramphenicol_acetyltransferases_CATP was removed because does not look like a gene, so removing its metadata
CFIA.Bla_M63556.1_gene1_betalactams_Class_B_betalactamases_CFIA was removed because does not look like a gene, so removing its metadata
CML.Phe_AF458080.1_gene3_Phenicol_Phenicol_efflux_pumps_CML was removed because does not look like a gene, so removing its metadata
CML.Phe_AJ87033.2_gene3_Phenicol_Phenicol_efflux_pumps_CML was removed because does not look like a gene, so removing its metadata
CML.Phe_U12338.3_gene8_Phenicol_Phenicol_efflux_pumps_CML was removed because does not look like a gene, so removing its metadata
CMY.Bla_AF167990.3_gene1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.Bla_AF357599.1_gene1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.Bla_CMY_30_EF685372_1_1143_1143_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.Bla_CMY_3_1_Y16783_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.Bla_CMY_87_AB699171_1_1143_1143_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.Bla_DQ463751.1_gene1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_13591814_gb_AF357597.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_13591818_gb_AF357599.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_1524112_emb_X92508.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_2570064_emb_Y15130.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_2959389_emb_Y16785.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_306773837_dbj_AB587082.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_332867557_gb_EF685371.2_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_336318752_gb_JF780936.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_347364914_gb_HM046998.2_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_347364916_gb_HM569226.2_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_356457901_gb_HQ650104.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_374414413_gb_JN714478.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_374414421_gb_JN714480.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_387861048_gb_JQ711184.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_387861052_gb_JQ711185.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_388564827_gb_JQ733571.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_388564831_gb_JQ733572.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_388564835_gb_JQ733573.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_388564843_gb_JQ733575.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_388564847_gb_JQ733576.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_388564851_gb_JQ733577.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_388564855_gb_JQ733578.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_388564859_gb_JQ733579.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_407731510_gb_JX440349.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_407731514_gb_JX440350.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_407731518_gb_JX440351.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_407731522_gb_JX440352.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_407731526_gb_JX440353.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_42357702_gb_AY513266.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_442540408_gb_JX514368.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_442540410_gb_JX514369.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_496632_emb_X78117.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_537366551_gb_KF305673.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_53854915_gb_AY743434.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_591542826_gb_KJ207202.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_591542849_gb_KJ207203.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_591542868_gb_KJ207204.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_591542892_gb_KJ207205.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_595583473_gb_KF992025.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_72199369_gb_DQ139328.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_753186447_gb_KM983294.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CMY.gi_93277247_gb_DQ463751.1_betalactams_Class_C_betalactamases_CMY was removed because does not look like a gene, so removing its metadata
CTX.1090_DQ303459.3_DQ303459_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.1268_AB976602.1_AB976602_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.Bla_AF518567.2_gene4_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.Bla_CTX_M_107_JF274244_1_864_864_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.Bla_CTX_M_109_JF274248_1_865_865_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.Bla_CTX_M_10_AF255298_1_873_873_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.Bla_CTX_M_110_JF274242_1_877_877_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.Bla_CTX_M_11_AY005110_254_1402_876_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.Bla_CTX_M_7_AJ005045_1_876_976_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_110630022_gb_DQ810789.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_11321257_gb_AF305837.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_121495528_emb_AM411407.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_124263631_gb_EF210159.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_124365351_gb_EF219142.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_126013667_gb_EF418608.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_1435024_dbj_D37830.1_ECOBELA_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_146771514_gb_EF576988.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_1524020_emb_X92506.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_1524365_emb_X92507.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_157812671_gb_EU177100.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_19526203_gb_AY080894.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_19852069_gb_AF488377.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_227018497_gb_FJ873739.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_238801079_gb_FJ971899.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_239909268_gb_GQ149243.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_239909270_gb_GQ149244.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_2443464_gb_U95364.1_STU95364_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_2462700_emb_Y14156.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_259120753_gb_FJ815436.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_260178851_gb_GQ870432.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_2765064_emb_Y10278.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_29692030_gb_AY238472.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_3021576_emb_AJ005044.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_303297116_gb_HM776707.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_32187778_emb_AJ567481.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_323709060_gb_HQ398214.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_325560583_gb_HQ913565.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_337729566_gb_JF966749.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_343480067_gb_JF274244.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_343480069_gb_JF274245.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_343480075_gb_JF274248.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_358009202_gb_JN227085.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_375313996_gb_JN790864.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_452107691_gb_KC351754.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_508128869_gb_KC964871.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_530776686_emb_HG423149.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_56069564_gb_AY822595.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_56554762_gb_AY847143.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_56554764_gb_AY847144.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_56554766_gb_AY847145.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_56554768_gb_AY847146.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_56554770_gb_AY847147.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_56554772_gb_AY847148.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_60359799_dbj_AB205197.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_6137225_gb_AF189721.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_614461914_gb_KJ020573.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_67462182_gb_AY750914.2_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_675278057_gb_KJ911020.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_68012687_gb_DQ061159.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_78057321_gb_DQ223685.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
CTX.gi_81238144_gb_DQ256091.1_betalactams_Class_A_betalactamases_CTX was removed because does not look like a gene, so removing its metadata
DFRD.Tmt_U43152.1_gene1_Trimethoprim_Dihydrofolate_reductase_DFRD was removed because does not look like a gene, so removing its metadata
DFRE.CARD_phgb_AF028811_0_462_ARO_3002875_dfrE_Trimethoprim_Dihydrofolate_reductase_DFRE was removed because does not look like a gene, so removing its metadata
DHA.1913_unknown_id_unknown_name_betalactams_Class_C_betalactamases_DHA was removed because does not look like a gene, so removing its metadata
DHFR.1389_FN561628.1_FN561628_Trimethoprim_Dihydrofolate_reductase_DHFR_RequiresSNPConfirmation was removed because does not look like a gene, so removing its metadata
DHFR.986_AM237806.1_AM237806_Trimethoprim_Dihydrofolate_reductase_DHFR_RequiresSNPConfirmation was removed because does not look like a gene, so removing its metadata
DHFR.Tmt_AJ605332.1_gene1_Trimethoprim_Dihydrofolate_reductase_DHFR_RequiresSNPConfirmation was removed because does not look like a gene, so removing its metadata
EREA.MLS_AF099140.1_gene1_MLS_Macrolide_esterases_EREA was removed because does not look like a gene, so removing its metadata
ERMA.1390_EU348758.1_EU348758_MLS_23S_rRNA_methyltransferases_ERMA was removed because does not look like a gene, so removing its metadata
ERMB.MLS_ermB_7_AF368302_MLS_23S_rRNA_methyltransferases_ERMB was removed because does not look like a gene, so removing its metadata
ERMF.MLS_M62487.1_gene1_MLS_23S_rRNA_methyltransferases_ERMF was removed because does not look like a gene, so removing its metadata
ERMQ.MLS_L22689.1_gene1_MLS_23S_rRNA_methyltransferases_ERMQ was removed because does not look like a gene, so removing its metadata
ERMV.MLS_U59450.1_gene2_MLS_23S_rRNA_methyltransferases_ERMV was removed because does not look like a gene, so removing its metadata
FEXA.Phe_AJ549214.1_gene2_Phenicol_Phenicol_efflux_pumps_FEXA was removed because does not look like a gene, so removing its metadata
FOX.Bla_X77455.1_gene1_betalactams_Class_C_betalactamases_FOX was removed because does not look like a gene, so removing its metadata
FOX.gi_1841437_emb_Y11068.1_betalactams_Class_C_betalactamases_FOX was removed because does not look like a gene, so removing its metadata
FOX.gi_2739291_emb_Y10282.1_betalactams_Class_C_betalactamases_FOX was removed because does not look like a gene, so removing its metadata
FOX.gi_340937393_gb_JF896803.1_betalactams_Class_C_betalactamases_FOX was removed because does not look like a gene, so removing its metadata
GES.Bla_GES_23_1_KF179354_betalactams_Class_A_betalactamases_GES was removed because does not look like a gene, so removing its metadata
GES.gi_13310176_gb_AF329699.1_betalactams_Class_A_betalactamases_GES was removed because does not look like a gene, so removing its metadata
GES.gi_388891770_gb_JQ772478.1_betalactams_Class_A_betalactamases_GES was removed because does not look like a gene, so removing its metadata
GOB.Bla_GOB_2_AF189296_1_756_756_betalactams_Class_B_betalactamases_GOB was removed because does not look like a gene, so removing its metadata
GOB.Bla_GOB_3_AF189291_1_756_756_betalactams_Class_B_betalactamases_GOB was removed because does not look like a gene, so removing its metadata
GOB.Bla_GOB_4_AF189293_1_756_756_betalactams_Class_B_betalactamases_GOB was removed because does not look like a gene, so removing its metadata
GOB.Bla_GOB_5_AF189290_1_756_756_betalactams_Class_B_betalactamases_GOB was removed because does not look like a gene, so removing its metadata
GOB.Bla_GOB_6_AF189292_1_756_756_betalactams_Class_B_betalactamases_GOB was removed because does not look like a gene, so removing its metadata
GOB.Bla_GOB_7_AF189297_1_756_756_betalactams_Class_B_betalactamases_GOB was removed because does not look like a gene, so removing its metadata
GYRB.CARD_pvgb_NC_011374_104283_106236_ARO_3003305_Ureaplasma_Fluoroquinolones_Fluoroquinolone_resistant_DNA_topoisomerases_GYRB_RequiresSNPConfirmation was removed because does not look like a gene, so removing its metadata
IMP.Bla_AJ223604.1_gene3_betalactams_Class_B_betalactamases_IMP was removed because does not look like a gene, so removing its metadata
IMP.Bla_AJ420864.1_gene1_betalactams_Class_B_betalactamases_IMP was removed because does not look like a gene, so removing its metadata
IMP.Bla_AJ550807.1_gene4_betalactams_Class_B_betalactamases_IMP was removed because does not look like a gene, so removing its metadata
IMP.Bla_AJ584652.2_gene3_betalactams_Class_B_betalactamases_IMP was removed because does not look like a gene, so removing its metadata
IMP.gi_17026019_dbj_AB074433.1_betalactams_Class_B_betalactamases_IMP was removed because does not look like a gene, so removing its metadata
IMP.gi_17026025_dbj_AB074436.1_betalactams_Class_B_betalactamases_IMP was removed because does not look like a gene, so removing its metadata
IMP.gi_403309640_gb_JQ002629.1_betalactams_Class_B_betalactamases_IMP was removed because does not look like a gene, so removing its metadata
IMP.gi_62736339_gb_AY553332.1_betalactams_Class_B_betalactamases_IMP was removed because does not look like a gene, so removing its metadata
IND.gi_270266459_gb_GU186044.1_betalactams_Class_B_betalactamases_IND was removed because does not look like a gene, so removing its metadata
IND.gi_270266461_gb_GU186045.1_betalactams_Class_B_betalactamases_IND was removed because does not look like a gene, so removing its metadata
IND.gi_281021928_gb_GU206353.1_betalactams_Class_B_betalactamases_IND was removed because does not look like a gene, so removing its metadata
IND.gi_300510839_gb_HM245379.1_betalactams_Class_B_betalactamases_IND was removed because does not look like a gene, so removing its metadata
IND.gi_300510841_gb_HM245380.1_betalactams_Class_B_betalactamases_IND was removed because does not look like a gene, so removing its metadata
IND.gi_300510843_gb_HM245381.1_betalactams_Class_B_betalactamases_IND was removed because does not look like a gene, so removing its metadata
IND.gi_300863226_gb_HM367709.1_betalactams_Class_B_betalactamases_IND was removed because does not look like a gene, so removing its metadata
IND.gi_302357573_dbj_AB563173.1_betalactams_Class_B_betalactamases_IND was removed because does not look like a gene, so removing its metadata
KPC.Bla_KPC_4_1_AY700571_betalactams_Class_A_betalactamases_KPC was removed because does not look like a gene, so removing its metadata
KPC.Bla_KPC_9_FJ624872_1_854_854_betalactams_Class_A_betalactamases_KPC was removed because does not look like a gene, so removing its metadata
KPC.CARD_phgb_AY700571_0_879_ARO_3002314_KPC_4_betalactams_Class_A_betalactamases_KPC was removed because does not look like a gene, so removing its metadata
KPC.CARD_phgb_FJ624872_0_851_ARO_3002319_KPC_9_betalactams_Class_A_betalactamases_KPC was removed because does not look like a gene, so removing its metadata
KPC.gi_14626419_gb_AY034847.1_betalactams_Class_A_betalactamases_KPC was removed because does not look like a gene, so removing its metadata
KPC.gi_15705412_gb_AF395881.1_betalactams_Class_A_betalactamases_KPC was removed because does not look like a gene, so removing its metadata
